ID,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,"N.Asset/N.Premium
(2 yeara ago)",Y0,Y
2017_13686,30,28,161,0,91,2.6,0,0,23,8,0,0,0,23458,6652,3.526458208,0,neg
2016_15742,9,7,999,0,110,0.5,999,999,8,0,0,0,0,7406,505,14.66534653,0,neg
2017_15742,101,83,1002,0,101,1.4,-10,-10,50,0,-1,0,0,6667,5558,1.199532206,0,neg
2006_11105,202,91,-2,0,93,3.1,7,7,60,12,-1,5,-10,10103,9209,1.097078945,0,neg
2007_11105,181,80,-7,0,93,3.6,7,7,57,7,-1,-1,-6,10802,8598,1.256338683,1,pos
2008_11105,282,77,0,1,95,3.6,3,3,61,7,-3,-3,-5,11100,8580,1.293706294,0,neg
2010_11105,512,128,-18,1,99,3.5,0,0,71,11,0,-4,10,13824,3874.758242,3.567706457,0,neg
2011_11105,657,220,85,1,98,3.2,8,-28,116,105,-2,-4,-6,14918,32761,0.455358506,0,neg
2012_11105,1216,539,42,1,108,3.1,-42,-42,102,47,0,-2,72,8611,46450,0.185382131,0,neg
2013_11105,284,137,-1,0,107,2.5,291,1,66,12,0,0,-5,33676,46079,0.730831832,0,neg
2014_11105,232,132,2,0,98,2.5,6,6,64,11,0,0,-12,35575,46872,0.758981908,0,neg
2015_11105,201,130,0,0,98,2.5,1,1,64,10,1,-1,-5,35833,46732,0.766776513,0,neg
2016_11105,173,121,0,0,97,2.4,8,8,64,10,-2,0,-6,38769,46934,0.826032301,1,pos
2017_11105,204,118,6,0,94,2.4,9,9,65,10,2,-1,-4,42134,49874,0.844808918,0,neg
2015_15597,21,17,999,0,334,0,999,999,56,0,0,0,0,2851,488,5.842213115,0,neg
2016_15597,310,266,1470,0,94,1.7,1,-1,141,6,2,0,0,2885,7669,0.376189855,0,neg
2017_15597,212,192,-23,0,97,2.2,6,-3,150,12,-7,1,-85,3056,5880,0.519727891,1,pos
2008_10675,652,104,-3,0,93,5.3,0,0,58,2,-1,-2,-6,10313,10767,0.957834123,0,neg
2010_10675,616,102,0,0,93,5.6,3,3,57,2,-2,-6,-2,10340,2859.606593,3.615881997,1,pos
2011_10675,674,115,6,0,99,5.2,-6,-6,58,2,-2,-3,4,9766,11240,0.86886121,1,pos
2012_10675,305,39,-27,0,96,1.9,115,13,41,1,-2,-3,8,21043,8234,2.555623026,1,pos
2013_10675,311,38,2,0,87,2.1,6,6,39,2,-1,-3,4,22334,8409,2.655963848,1,pos
2008_R 42960,528,52,-3,0,89,5.3,3,3,39,1,0,-1,-3,20577,10767,1.911117303,1,pos
2010_42960,567,53,0,0,89,5.7,5,5,39,1,-1,-3,-1,19873,5594.806593,3.552044145,0,neg
2011_42960,629,57,6,0,95,5,-1,-1,40,1,-1,-2,2,19714,11240,1.753914591,0,neg
2012_42960,507,73,47,0,93,1.8,14,2,69,13,-2,-3,13,22553,16468,1.369504494,0,neg
2013_42960,406,68,2,0,89,2.5,10,10,64,3,-1,-3,7,24717,16817,1.46976274,0,neg
2014_42960,364,69,3,0,93,2.7,1,1,53,2,1,-1,1,24956,17311,1.441626711,0,neg
2006_10675,781,119,-1,0,88,5.1,10,10,62,3,-3,-3,0,9627,11487,0.838077827,1,pos
2007_10675,685,108,-3,0,91,5,7,7,57,3,1,-1,-5,10321,11099,0.929903595,1,pos
2006_42960,560,61,-1,0,85,5,7,7,42,1,-2,-1,0,18950,11487,1.649690955,0,neg
2007_42960,534,56,-3,0,87,5.1,5,5,39,1,0,-1,-2,19969,11099,1.799171096,0,neg
2011_15539,74,72,2,0,92,3.4,8,8,44,4,-1,-3,-3,3325739,2406204,1.382151721,0,neg
2012_15539,81,75,7,0,92,3.3,3,3,53,7,-2,-3,-5,3440525,2582755,1.332114351,0,neg
2013_15539,78,73,2,0,95,3,5,5,52,10,-1,-3,-1,3624913,2637539,1.374354275,1,pos
2008_12487,131,131,999,0,95,3.6,45,-7,41,0,0,0,0,30690,40235,0.762768734,1,pos
2010_12487,1,1,-99,0,92,3.2,28,28,25,0,-6,-4,-12,35477,10144.6967,3.497098143,1,pos
2010_29327,1662,0,0,0,0,2.6,2,2,125,12,0,0,0,7667,1970.441758,3.891005643,1,pos
2006_13013,13,13,-23,0,145,1.6,-14,-14,25,2,-1,-3,-3,1475,185,7.972972973,1,pos
2007_13013,15,15,33,0,159,2.7,11,11,19,6,-3,-3,-2,1637,246,6.654471545,1,pos
2010_13013,0,0,0,0,999,0.5,-29,-29,3,0,-1,-1,0,1163,317.1318681,3.667244187,1,pos
2008_22896,47,46,51,0,35,4.9,-16,-16,70,0,2,1,-5,229140,105471,2.172540319,1,pos
2009_22896,0,0,-116,0,273,4.1,-56,-58,78,0,-1,4,-19,101286,5.080769231,19935.17033,1,pos
2011_22896,0,0,-44,0,2437,4.3,-22,-22,77,0,2,5,-38,107201,487,220.1252567,1,pos
2012_22896,0,0,-37,0,5074,4,9,9,74,0,-8,5,-22,117315,309,379.6601942,1,pos
